State,Age_Bracket,Age_Lower,Age_Upper,Race,Deaths,Bracket_Median_Age,Bracket_Mean_Age,Life Expectancy,YLL (based on age bracket median),YLL (based on age bracket weighted mean),YLL (based on upper age in bracket)
New Mexico,45_64,45.0,64.0,AIAN,351.0,54.5,53.14,72.817346738,6429.388705037999,6906.748705037999,3094.888705037999
New Mexico,65_74,65.0,74.0,AIAN,255.0,69.5,69.34,72.817346738,845.9234181899994,886.7234181899985,0.0
New Mexico,75+,75.0,,AIAN,329.0,75.0,81.49,72.817346738,0.0,0.0,
South Dakota,0_9,0.0,9.0,AIAN,0.0,4.5,4.58,65.508320996,0.0,0.0,0.0
South Dakota,10_19,10.0,19.0,AIAN,0.0,14.5,14.84,65.508320996,0.0,0.0,0.0
South Dakota,20_29,20.0,29.0,AIAN,4.0,24.5,24.46,65.508320996,164.03328398399998,164.19328398399998,146.03328398399998
South Dakota,30_39,30.0,39.0,AIAN,12.0,34.5,34.69,65.508320996,372.09985195199994,369.81985195199996,318.09985195199994
South Dakota,40_49,40.0,49.0,AIAN,18.0,44.5,44.3,65.508320996,378.14977792799993,381.74977792799996,297.14977792799993
South Dakota,50_59,50.0,59.0,AIAN,51.0,54.5,54.09,65.508320996,561.4243707959997,582.3343707959996,331.9243707959997
South Dakota,60_69,60.0,69.0,AIAN,70.0,64.5,64.3,65.508320996,70.58246971999964,84.58246971999984,0.0
South Dakota,70_79,70.0,79.0,AIAN,72.0,74.5,74.23,65.508320996,0.0,0.0,0.0
South Dakota,80+,80.0,,AIAN,37.0,80.0,85.19,65.508320996,0.0,0.0,
California,All,,,,101662.0,,,,1236549.0331966905,1191171.933886713,723187.531347327
Illinois,All,,,,40399.0,,,,298142.704759927,297333.12475992704,199712.54088133905
Michigan,All,,,,31481.0,,,,184242.1742475659,187895.65424756598,117916.53355558998
New Mexico,All,,,,7426.0,,,,83941.550893639,75629.94180924799,43687.80152576801
South Dakota,All,,,,3697.0,,,,19531.492146050994,19711.308280490997,12389.211189469996
